sysTime name age sex trialN audioCnd gbrDir gbrPresTime gbrRT gbrACC 
246569644 E124 21 1 77 0 left 64 470 1 
246573276 E124 21 1 77 0 left 64 470 1 
246576276 E124 21 1 77 0 left 64 470 1 
246576283 E124 21 1 78 0 right 64 -1 -1 
246577295 E124 21 1 78 0 right 64 -1 -1 
246578037 E124 21 1 78 0 right 64 657 1 
246581666 E124 21 1 78 0 right 64 657 1 
246584666 E124 21 1 78 0 right 64 657 1 
246584673 E124 21 1 79 0 right 48 -1 -1 
246585684 E124 21 1 79 0 right 48 -1 -1 
246586524 E124 21 1 79 0 right 48 771 1 
246591456 E124 21 1 79 0 right 48 771 1 
246594456 E124 21 1 79 0 right 48 771 1 
246594463 E124 21 1 80 0 right 32 -1 -1 
246595475 E124 21 1 80 0 right 32 -1 -1 
246596037 E124 21 1 80 0 right 32 510 1 
246599946 E124 21 1 80 0 right 32 510 1 
246602946 E124 21 1 80 0 right 32 510 1 
246602953 E124 21 1 81 0 left 32 -1 -1 
246603964 E124 21 1 81 0 left 32 -1 -1 
246604755 E124 21 1 81 0 left 32 739 1 
246609403 E124 21 1 81 0 left 32 739 1 
246612403 E124 21 1 81 0 left 32 739 1 
246612413 E124 21 1 82 0 right 48 -1 -1 
246613421 E124 21 1 82 0 right 48 -1 -1 
246614156 E124 21 1 82 0 right 48 666 1 
246618209 E124 21 1 82 0 right 48 666 1 
246621209 E124 21 1 82 0 right 48 666 1 
246621216 E124 21 1 83 0 left 64 -1 -1 
246622228 E124 21 1 83 0 left 64 -1 -1 
246622955 E124 21 1 83 0 left 64 642 1 
246626549 E124 21 1 83 0 left 64 642 1 
246629549 E124 21 1 83 0 left 64 642 1 
246629556 E124 21 1 84 0 right 16 -1 -1 
246630568 E124 21 1 84 0 right 16 -1 -1 
246631187 E124 21 1 84 0 right 16 584 1 
246635105 E124 21 1 84 0 right 16 584 1 
246638105 E124 21 1 84 0 right 16 584 1 
246638112 E124 21 1 85 0 left 32 -1 -1 
246639124 E124 21 1 85 0 left 32 -1 -1 
246639716 E124 21 1 85 0 left 32 540 1 
246643345 E124 21 1 85 0 left 32 540 1 
246646345 E124 21 1 85 0 left 32 540 1 
246646352 E124 21 1 86 0 left 48 -1 -1 
246647363 E124 21 1 86 0 left 48 -1 -1 
246647987 E124 21 1 86 0 left 48 555 1 
246651718 E124 21 1 86 0 left 48 555 1 
246654718 E124 21 1 86 0 left 48 555 1 
246654725 E124 21 1 87 0 left 48 -1 -1 
246655736 E124 21 1 87 0 left 48 -1 -1 
246656627 E124 21 1 87 0 left 48 822 1 
246660925 E124 21 1 87 0 left 48 822 1 
246663925 E124 21 1 87 0 left 48 822 1 
246663932 E124 21 1 88 0 right 64 -1 -1 
246664943 E124 21 1 88 0 right 64 -1 -1 
246665618 E124 21 1 88 0 right 64 590 1 
246669414 E124 21 1 88 0 right 64 590 1 
246672414 E124 21 1 88 0 right 64 590 1 
246672421 E124 21 1 89 0 right 64 -1 -1 
246673433 E124 21 1 89 0 right 64 -1 -1 
246674258 E124 21 1 89 0 right 64 740 1 
246677870 E124 21 1 89 0 right 64 740 1 
246680870 E124 21 1 89 0 right 64 740 1 
246680877 E124 21 1 90 0 right 64 -1 -1 
246681889 E124 21 1 90 0 right 64 -1 -1 
246682778 E124 21 1 90 0 right 64 804 1 
246686493 E124 21 1 90 0 right 64 804 1 
246689493 E124 21 1 90 0 right 64 804 1 
246689499 E124 21 1 91 0 right 48 -1 -1 
246690512 E124 21 1 91 0 right 48 -1 -1 
246691106 E124 21 1 91 0 right 48 526 1 
246695000 E124 21 1 91 0 right 48 526 1 
246698000 E124 21 1 91 0 right 48 526 1 
246698007 E124 21 1 92 0 right 48 -1 -1 
246699018 E124 21 1 92 0 right 48 -1 -1 
246699698 E124 21 1 92 0 right 48 611 1 
246704006 E124 21 1 92 0 right 48 611 1 
246707006 E124 21 1 92 0 right 48 611 1 
246707013 E124 21 1 93 0 left 48 -1 -1 
246708025 E124 21 1 93 0 left 48 -1 -1 
246708859 E124 21 1 93 0 left 48 766 1 
246712646 E124 21 1 93 0 left 48 766 1 
246715646 E124 21 1 93 0 left 48 766 1 
246715653 E124 21 1 94 0 left 32 -1 -1 
246716665 E124 21 1 94 0 left 32 -1 -1 
246717338 E124 21 1 94 0 left 32 622 1 
246721436 E124 21 1 94 0 left 32 622 1 
246724436 E124 21 1 94 0 left 32 622 1 
246724442 E124 21 1 95 0 left 48 -1 -1 
246725454 E124 21 1 95 0 left 48 -1 -1 
246726162 E124 21 1 95 0 left 48 639 1 
246729826 E124 21 1 95 0 left 48 639 1 
246732826 E124 21 1 95 0 left 48 639 1 
